ch,yue,yue-nn,yue-wz
叀,zyun,zyun,zyun
叁,saam,slaam,saam
叁,caam,slaam,saam
参,caam,caam,caam
参,sam,sam,sam
参,cam,cam,cam
参,saam,cam,cam
参孙,sam syun,sam slyun,sam syun
参宿,sam sau,sam slau,sam sau
参差,caam ci,caam ci,caam ci
参差,cam ci,cam ci,cam ci
参校,caam gaau,caam gaau,caam gaau
参汤,sam tong,sam tong,sam tong
参茶,sam caa,sam caa,sam caa
参茸,sam jung,sam jung,sam jung
参薯,sam syu,sam syu,sam syu
参谋总长,caam mau zung zoeng,caam mau zung zoeng,caam mau zung zoeng
参谋长,caam mau zoeng,caam mau zoeng,caam mau zoeng
參,caam,caam,caam
參,sam,sam,sam
參,cam,cam,cam
參,saam,cam,cam
參孫,sam syun,sam slyun,sam syun
參宿,sam sau,sam slau,sam sau
參差,caam ci,caam ci,caam ci
參差,cam ci,cam ci,cam ci
參校,caam gaau,caam gaau,caam gaau
參茶,sam caa,sam caa,sam caa
參茸,sam jung,sam jung,sam jung
參薯,sam syu,sam syu,sam syu
參謀總長,caam mau zung zoeng,caam mau zung zoeng,caam mau zung zoeng
參謀長,caam mau zoeng,caam mau zoeng,caam mau zoeng
叄,caam,slaam,saam
叅,caam,caam,caam
叆,oi,oi,oi
叇,doi,doi,doi
又,jau,jau,jau
又平又靓,jau peng jau leng,jau peng jau leng,jau ping jau ling
又平又靚,jau peng jau leng,jau peng jau leng,jau ping jau ling
又翳又諦,jau ngai jau dai,jau ai jau dai,jau ai jau dai
又翳又谛,jau ngai jau dai,jau ai jau dai,jau ai jau dai
又裙又裤,jau gwan jau fu,jau kwan jau fu,jau kwan jau fu
又裙又褲,jau gwan jau fu,jau kwan jau fu,jau kwan jau fu
叉,caa,caa,caa
及,gap,gap,gap
及,kap,gap,gap
及时行乐,kap si hang lok,gap si hang lok,gap si hang lok
及時行樂,kap si hang lok,gap si hang lok,gap si hang lok
及第粥,gap dai zuk,gap dai zuk,gap dai zuk
及第粥,kap dai zuk,gap dai zuk,gap dai zuk
友,jau,jau,jau
双,soeng,soeng,song
双声带,soeng sing daai,soeng sing daai,song sing daai
双眼檐,soeng ngaan sim,soeng ngaan jam,song ngaan jam
双眼檐,soeng ngan jam,soeng ngen jam,song ngaan jam
双行,soeng hong,soeng hong,song hong
反,faan,faan,faan
反仰掉,faan ngong zaau,faan ngong deu,faan ngong daau
反仰瞓,faan ngong fan,faan ngong fan,faan ngong fan
反右派斗争,faan jau paai dau zang,faan jau paai dau caang,faan jau paai dau caang
反右派鬥爭,faan jau paai dau zang,faan jau paai dau caang,faan jau paai dau caang
反坦克,faan taan hak,faan taan hak,faan taan hak
反省,faan sing,faan sling,faan sing
反袁斗争,faan jyun dau zang,faan jyun dau caang,faan jyun dau caang
反袁鬥爭,faan jyun dau zang,faan jyun dau caang,faan jyun dau caang
反鋸齒,faan goe ci,faan goe ci,faan gyu ci
反锯齿,faan goe ci,faan goe ci,faan gyu ci
反領,faan leng,faan leng,faan ling
反领,faan leng,faan leng,faan ling
収,sau,sau,sau
叏,gwaai,gwaai,gwaai
叐,bat,baat,baat
发,fat,faat,faat
发,faat,faat,faat
发,but,faat,faat
发个猪头,faat gwo zyu tau,faat go zyu tau,faat go zyu tau
发喑话,faat ngam waa,faat jam waa,faat jam waa
发嘘声,faat hoe seng,faat syu seng,faat syu sing
发憷,faat co,faat co,faat co
发抆憎,faat mang zang,faat men zang,faat maan zang
发梦都谂唔到,faat mung dou lam m dou,faat mung du nam m du,faat mung du nam m dou
发泡,faat pou,faat pu,faat pou
发焮,faat hing,faat jan,faat jan
发狂,faat kong,faat kong,faat kong
发狂,faat kwong,faat kong,faat kong
发行人,faat hong jan,faat hong jan,faat hong jan
发行备忘录,faat hong bei mong luk,faat hong bi mong luk,faat hong bi mong luk
发酵,faat gaau,faat haau,faat haau
发酵,faat haau,faat haau,faat haau
发青光,faat ceng gwong,faat ceng gong,faat cing gong
叒,joek,joek,joek
叓,si,si,si
叔,suk,suk,suk
叔,sok,suk,suk
叔婆,sok po,suk po,suk po
叔婆,suk po,suk po,suk po
叕,zyut,zyut,zyut
取,ceoi,cyu,cyu
取,cou,cyu,cyu
取名,ceoi meng,cyu meng,cyu ming
取名,ceoi ming,cyu ming,cyu ming
受,sau,sau,sau
受媾,sau kau,sau kau,sau kau
受禅,sau sin,sau sin,sau sin
受禪,sau sin,sau sin,sau sin
受虐狂,sau joek kong,sau joek kong,sau joek kong
受虐狂,sau joek kwong,sau joek kong,sau joek kong
受降,sau hong,sau hong,sau hong
受黑錢,sau hak cin,sau hak cin,sau hak cin
受黑钱,sau hak cin,sau hak cin,sau hak cin
变,bin,bin,bin
变化莫测,bin faa mok caak,bin faa mok cak,bin faa mok cak
变幻莫测,bin waan mok caak,bin waan mok cak,bin waan mok cak
变幻莫测,bin waan mok cak,bin waan mok cak,bin waan mok cak
变征之声,bin zi zi sing,bin zi zi sing,bin zi zi sing
变更,bin gang,bin gang,bin gang
叙,zeoi,zyu,zyu
叚,gaa,gaa,gaa
叛,bun,pun,pun
叜,sau,slau,sau
叝,gap,gap,gap
叞,wai,wai,wai
叟,sau,slau,sau
叠,dip,dip,dip
叠,daap,dip,dip
叠,dap,dip,dip
叠,dep,dip,dip
叠友,daap jau,dip jau,dip jau
叠崩,daap bang,dip bang,dip bang
叠水,daap seoi,dip sui,dip sui
叠码,daap maa,dip maa,dip maa
叠碼,daap maa,dip maa,dip maa
叠米,daap mai,dip mai,dip mai
叠馬,daap maa,dip maa,dip maa
叠马,daap maa,dip maa,dip maa
叡,jeoi,jui,jui
叡,haai,haai,haai
叢,cung,cung,cung
口,hau,hau,hau
口吃,hau gat,hau gat,hau gat
口吃,hau hek,hau hek,hau hek
口吃吃,hau gat gat,hau gat gat,hau gat gat
口吶吶,hau nap nap,hau nat nat,hau nat nat
口呐呐,hau nap nap,hau nat nat,hau nat nat
口淡,hau taam,hau taam,hau taam
口淡淡,hau taam taam,hau taam taam,hau taam taam
口爽荷包立,hau song ho baau nap,hau song ho baau lap,hau song ho baau lap
口眼歪斜,hau ngaan waai ce,hau ngaan waai ce,hau ngaan waai ce
口輕,hau heng,hau heng,hau hing
口輕輕,hau heng heng,hau heng heng,hau hing hing
口轻,hau heng,hau heng,hau hing
口轻轻,hau heng heng,hau heng heng,hau hing hing
口黑面黑,hau hak min hak,hau hak min hak,hau hak min hak
古,gu,gu,gu
古典乐,gu din ngok,gu din ngok,gu din ngok
古典樂,gu din ngok,gu din ngok,gu din ngok
古玩,gu wun,gu wun,gu wun
古筝,gu zaang,gu zang,gu zang
古筝,gu zang,gu zang,gu zang
古箏,gu zaang,gu zang,gu zang
古箏,gu zang,gu zang,gu zang
古纤道,gu cim dou,gu cim du,gu cim dou
句,geoi,gyu,gyu
句,ngau,gyu,gyu
句,gau,gyu,gyu
句驪河,ngau lei ho,gyu li ho,gyu li ho
句骊河,ngau lei ho,gyu li ho,gyu li ho
另,ling,ling,ling
叧,waa,waa,waa
叨,dou,du,dou
叨,tou,tu,tou
叨叨,tou tou,tu tu,tou tou
叨叨絮絮,dou dou seoi seoi,du du slyu slyu,dou dou syu syu
叩,kau,kau,kau
只,zi,zi,zi
只,zek,zek,zek
只,kei,zek,zek
只不过,zi bat gwo,zi bat go,zi bat go
只不過,zi bat gwo,zi bat go,zi bat go
只争旦夕,zi zang daan zik,zi caang daan zik,zi caang daan zik
只争朝夕,zi zang ziu zik,zi caang ziu zik,zi caang ziu zik
只会,zi wui,zi wui,zi wui
只係,zi hai,zi hai,zi hai
只剩,zi sing,zi sing,zi sing
只可以,zi ho ji,zi ho ji,zi ho ji
只在,zi zoi,zi zoi,zi zoi
只好,zi hou,zi hu,zi hou
只得,zi dak,zi dak,zi dak
只怕,zi paa,zi paa,zi paa
只揪,zek cau,zek zau,zek zau
只改,zi goi,zi goi,zi goi
只是,zi si,zi si,zi si
只會,zi wui,zi wui,zi wui
只有,zi jau,zi jau,zi jau
只欠东风,zi him dung fung,zi him dung fung,zi him dung fung
只欠東風,zi him dung fung,zi him dung fung,zi him dung fung
只求,zi kau,zi kau,zi kau
只爭旦夕,zi zang daan zik,zi caang daan zik,zi caang daan zik
只爭朝夕,zi zang ziu zik,zi caang ziu zik,zi caang ziu zik
只用,zi jung,zi jung,zi jung
只管,zi gun,zi gun,zi gun
只系,zi hai,zi hai,zi hai
只羡鸳鸯不羡仙,zi sin jin joeng bat sin sin,zi slin jyun joeng bat slin slin,zi sin jyun joeng bat sin sin
只羡鸳鸯不羡仙,zi sin jyun joeng bat sin sin,zi slin jyun joeng bat slin slin,zi sin jyun joeng bat sin sin
只羨鴛鴦不羨仙,zi sin jin joeng bat sin sin,zi slin jyun joeng bat slin slin,zi sin jyun joeng bat sin sin
只羨鴛鴦不羨仙,zi sin jyun joeng bat sin sin,zi slin jyun joeng bat slin slin,zi sin jyun joeng bat sin sin
只能,zi nang,zi nang,zi nang
只褦只,zek naai zek,zek naai zek,zek naai zek
只要,zi jiu,zi jiu,zi jiu
只見樹木不見森林,zi gin syu muk bat gin sam lam,zi gin syu muk bat gin sam lam,zi gin syu muk bat gin sam lam
只见树木不见森林,zi gin syu muk bat gin sam lam,zi gin syu muk bat gin sam lam,zi gin syu muk bat gin sam lam
只說不做,zi syut bat zou,zi syut bat zu,zi syut bat zu
只讀,zi duk,zi duk,zi duk
只说不做,zi syut bat zou,zi syut bat zu,zi syut bat zu
只读,zi duk,zi duk,zi duk
只限于,zi haan jyu,zi haan jyu,zi haan jyu
只限於,zi haan jyu,zi haan jyu,zi haan jyu
只需,zi seoi,zi slyu,zi syu
只須,zi seoi,zi slyu,zi syu
只顧,zi gu,zi gu,zi gu
只须,zi seoi,zi slyu,zi syu
只顾,zi gu,zi gu,zi gu
叫,giu,giu,giu
叫呢个,giu ni go,giu ne go,giu ne go
叫呢個,giu ni go,giu ne go,giu ne go
叫咩名,giu me meng,giu me meng,giu me ming
叫醒,giu seng,giu sleng,giu sing
叫醒,giu sing,giu sling,giu sing
召,ziu,ziu,ziu
召,siu,siu,siu
叭,baa,baa,baa
叮,ding,ding,ding
叮,deng,ding,ding
叮拎等㨢,ding ling dang lang,ding ling dang nang,ding ling dang nang
可,ho,ho,ho
可,hak,ho,ho
可,ko,ho,ho
可,haak,ho,ho
可塑性,ho sok sing,ho slok sling,ho sok sing
可塑性,ho sou sing,ho slu sling,ho su sing
可恶,ho wu,ho wu,ho wu
可恼也,ko laau je,ho nu jaa,ho nou je
可恼也,ko naau je,ho nu jaa,ho nou je
可惡,ho wu,ho wu,ho wu
可惱也,ko laau je,ho nu jaa,ho nou je
可惱也,ko naau je,ho nu jaa,ho nou je
可扩展标记语言,ho kwok zin biu gei jyu jin,ho kong zin biu gi jyu jin,ho kong zin biu gi jyu jin
可扩展标记语言,ho kwong zin biu gei jyu jin,ho kok zin biu gi jyu jin,ho kok zin biu gi jyu jin
可擴展標記語言,ho kwok zin biu gei jyu jin,ho kong zin biu gi jyu jin,ho kong zin biu gi jyu jin
可擴展標記語言,ho kwong zin biu gei jyu jin,ho kok zin biu gi jyu jin,ho kok zin biu gi jyu jin
可汗,haak hon,ho hon,ho hon
可汗,hak hon,ho hon,ho hon
可汗,ho hon,ho hon,ho hon
可調,ho tiu,ho tiu,ho tiu
可调,ho tiu,ho tiu,ho tiu
可轉讓證券,ho zyun joeng zing hyun,ho zyun joeng zing hyun,ho zyun joeng zing hyun
可转让证券,ho zyun joeng zing hyun,ho zyun joeng zing hyun,ho zyun joeng zing hyun
台,toi,toi,toi
台,ji,toi,toi
台倭,toi wai,toi wo,toi wo
叱,cik,cik,cik
叱吒風雲,cik caak fung wan,cik zaa fung wan,cik zaa fung wan
叱吒風雲,cik zaa fung wan,cik caak fung wan,cik caak fung wan
史,si,si,si
史,si,sai,sai
史传,si zyun,si zyun,si zyun
史傳,si zyun,si zyun,si zyun
右,jau,jau,jau
右挠,jau jaau,jau jaau,jau jaau
右撓,jau jaau,jau jaau,jau jaau
右鉤拳,jau gau kyun,jau gau kyun,jau gau kyun
右钩拳,jau gau kyun,jau gau kyun,jau gau kyun
叴,kau,kau,kau
叵,po,po,po
叵,bo,po,po
叶,jip,jip,jip
叶,hip,hip,hip
叶,sip,hip,hip
叶茎,jip hang,jip ging,jip ging
叶韵,hip wan,hip wan,hip wan
叶韻,hip wan,hip wan,hip wan
号,hou,hu,hou
号㡁,hou gwaa,hu kwaa,hou kwaa
司,si,si,si
司法部長,si faat bou zoeng,si faat bu zoeng,si faat bu zoeng
司法部长,si faat bou zoeng,si faat bu zoeng,si faat bu zoeng
司法院長,si faat jyun zoeng,si faat jyun zoeng,si faat jyun zoeng
司法院长,si faat jyun zoeng,si faat jyun zoeng,si faat jyun zoeng
司長,si zoeng,si zoeng,si zoeng
司长,si zoeng,si zoeng,si zoeng
司馬穰苴,si maa joeng zeoi,si maa nong caa,si maa nong caa
司马穰苴,si maa joeng zeoi,si maa nong caa,si maa nong caa
叹,taan,taan,taan
叺,cek,cek,cek
叻,lek,lek,lek
叻,lik,lik,lik
叻,lak,lak,lak
叻埠,lak fau,lak fau,lak fuk
叻埠,lik fau,lik fau,lik fuk
叻币,lik bai,lik bai,lik bai
叻幣,lik bai,lik bai,lik bai
叻沙,lak saa,lak saa,lak saa
叼,diu,diu,diu
叽,gei,gi,gi
叽,gi,gi,gi
叽叽咭咭,gi gi gat gat,gi gi gat gat,gi gi gat gat
叾,duk,duk,duk
叿,hung,hung,hung
吀,mei,mi,mi
吁,heoi,hyu,hyu
吁,jyu,jyu,jyu
吁,joek,jyu,jyu
吁请,jyu cing,jyu cing,jyu cing
吂,mong,mong,mong
吃,hek,hek,hek
吃,gat,gat,gat
吃,jaak,jaak,jaak
吃,hat,hat,hat
吃,hat,hik,hik
吃口,gat hau,gat hau,gat hau
吃口吃舌,gat hau gat sit,gat hau gat sit,gat hau gat sit
吃口吃舌,hek hau hek sit,hek hau hek sit,hek hau hek sit
吃屎,jaak si,jaak si,jaak si
吃拿卡要,hek naa kaat jiu,hek naa kaa jiu,hek naa kaa jiu
吃茄,jaak ke,jaak ke,jaak ke
吃蕉,jaak ziu,jaak ziu,jaak ziu
吃里扒外,hek leoi paa ngoi,hek lyu paa ngoi,hek lyu paa ngoi
吃里爬外,hek leoi paa ngoi,hek lyu paa ngoi,hek lyu paa ngoi
各,gok,gok,gok
各行各业,gok hong gok jip,gok hong gok nip,gok hong gok nip
各行各業,gok hong gok jip,gok hong gok nip,gok hong gok nip
各行各路,gok haang gok lou,gok haang gok lu,gok haang gok lu
吅,hyun,hyun,hyun
吆,jiu,jiu,jiu
吆,jiu,eu,jiu
吇,zi,zi,zi
合,hap,hap,hap
合,gap,gap,gap
合,gok,gok,gok
合,ho,gok,gok
合,gaap,gok,gok
合,hok,gok,gok
合份,gaap fan,gok fan,gok fan
合口,gap hau,gap hau,gap hau
合埋,gaap maai,gok maai,gok maai
合埋,hap maai,hap maai,hap maai
合手,gaap sau,gok sau,gok sau
合手合脚,gaap sau gaap goek,gok sau gok goek,gok sau gok goek
合手合脚,hap sau hap goek,hap sau hap goek,hap sau hap goek
合手合腳,hap sau hap goek,hap sau hap goek,hap sau hap goek
合晒合尺,hap saai ho ce,hap saai gok cek,hap saai gok cek
合档,gaap dong,gok dong,gok dong
合档,hap dong,hap dong,hap dong
合檔,gaap dong,gok dong,gok dong
合檔,hap dong,hap dong,hap dong
合牙,gaap ngaa,gok ngaa,gok ngaa
合肥,gap fei,gap fi,gap fi
合肥,hap fei,hap fi,hap fi
合肥工业大学,hap fei gung jip daai hok,hap fi gung nip daai hok,hap fi gung nip daai hok
合肥工業大學,hap fei gung jip daai hok,hap fi gung nip daai hok,hap fi gung nip daai hok
合肥市,hap fei si,hap fi si,hap fi si
合計,gaap gai,gok gai,gok gai
合計,hap gai,hap gai,hap gai
合计,gaap gai,gok gai,gok gai
合计,hap gai,hap gai,hap gai
合錢,gaap cin,gok cin,gok cin
合钱,gaap cin,gok cin,gok cin
吉,gat,gat,gat
吉普塞人,gat pou coi jan,gat pu soi jan,gat pu soi jan
吉締,gat tai,gat tai,gat tai
吉缔,gat tai,gat tai,gat tai
吊,diu,diu,diu
吊,dik,diu,diu
吊命,diu meng,diu meng,diu ming
吊膀子,diu bong zi,diu bong zi,diu bong zi
吊頸都要抖下氣,diu geng dou jiu tau haa hei,diu geng du jiu dau haa hi,diu ging du jiu dau haa hi
吊颈都要抖下气,diu geng dou jiu tau haa hei,diu geng du jiu dau haa hi,diu ging du jiu dau haa hi
吋,cyun,cyun,cyun
同,tung,tung,tung
同,dung,tung,tung
同人唔同命同遮唔同柄,tung jan m tung meng tung ze m tung beng,tung jan m tung meng tung ze m tung beng,tung jan m tung ming tung ze m tung bing
同名,tung meng,tung meng,tung ming
同名,tung ming,tung ming,tung ming
同名同姓,tung ming tung sing,tung ming tung sling,tung ming tung sing
同声一哭,tung sing jat huk,tung sing jat huk,tung sing jat huk
同声传译,tung sing cyun jik,tung sing cyun jik,tung sing cyun jik
同声翻译,tung sing faan jik,tung sing faan jik,tung sing faan jik
同聲一哭,tung sing jat huk,tung sing jat huk,tung sing jat huk
同聲傳譯,tung sing cyun jik,tung sing cyun jik,tung sing cyun jik
同聲翻譯,tung sing faan jik,tung sing faan jik,tung sing faan jik
同行如敌国,tung hong jyu dik gwok,tung hong jyu dik gok,tung hong jyu dik gok
同行如敵國,tung hong jyu dik gwok,tung hong jyu dik gok,tung hong jyu dik gok
同行是冤家,tung hong si jyun gaa,tung hong si jyun gaa,tung hong si jyun gaa
名,ming,ming,ming
名,meng,meng,ming
名声,ming sing,ming sing,ming sing
名媛,ming jyun,ming jyun,ming jyun
名媛,ming wun,ming jyun,ming jyun
名媛望族,ming wun mong zuk,ming jyun mong zuk,ming jyun mong zuk
名聲,ming sing,ming sing,ming sing
名重識暗,ming zung sik am,ming zung sik am,ming zung sik am
名重识暗,ming zung sik am,ming zung sik am,ming zung sik am
后,hau,hau,hau
后朝,hau ziu,hau ziu,hau ziu
后生,hau saang,hau saang,hau saang
后生,hau sang,hau saang,hau saang
后生动物,hau sang dung mat,hau saang dung mat,hau saang dung mat
后踿,hau cau,hau cau,hau cau
吏,lei,li,li
吐,tou,tu,tu
吐,dat,tu,tu
吐蕃,tou bo,tu faan,tu faan
吐蕃,tou faan,tu faan,tu faan
吐蕃王朝,tou faan wong ciu,tu faan wong ciu,tu faan wong ciu
吐谷浑,dat juk wan,tu guk wan,tu guk wan
吐谷渾,dat juk wan,tu guk wan,tu guk wan
向,hoeng,hoeng,hoeng
向前行,hoeng cin haang,hoeng cin haang,hoeng cin haang
向壁虚构,hoeng bik heoi kau,hoeng bik hyu kau,hoeng bik hyu kau
向壁虛構,hoeng bik heoi kau,hoeng bik hyu kau,hoeng bik hyu kau
吒,zaa,caak,caak
吒,caak,zaa,zaa
吓,haak,haak,haak
吓,haa,haa,haa
吓一惊,haak jat geng,haak jat geng,haak jat ging
吓惊,haak geng,haak geng,haak ging
吓我一惊,haak ngo jat geng,haak ngo jat geng,haak ngo jat ging
吔,jaa,jaa,jaak
吔,jaak,jaak,jaak
吔,jaak,jak,jaak
吔茄,jaak ke,jaak ke,jaak ke
吔飯,jaak faan,jaak faan,jaak faan
吔饭,jaak faan,jaak faan,jaak faan
吕,leoi,lyu,lyu
吕塞尔斯海姆,leoi coi ji si hoi mou,lyu soi ji si hoi mu,lyu soi ji si hoi mu
吖,aa,aa,aa
吖,a,jaa,jaa
吗,maa,maa,maa
吗,ma,maa,maa
吘,ngau,ngau,ngau
吙,fo,fo,fo
吙,hoe,hoe,hoe
吚,ji,ji,ji
君,gwan,gwan,gwan
吜,cau,cau,cau
吝,leon,lan,lan
吞,tan,tan,tan
吞口水养命,tan hau seoi joeng meng,tan hau sui joeng meng,tan hau sui joeng ming
吞口水養命,tan hau seoi joeng meng,tan hau sui joeng meng,tan hau sui joeng ming
吞声,tan sing,tan sing,tan sing
吞声忍气,tan seng jan hei,tan seng jan hi,tan sing jan hi
吞声忍气,tan sing jan hei,tan sing jan hi,tan sing jan hi
吞泡,tan pok,tan bok,tan bok
吞聲,tan sing,tan sing,tan sing
吞聲忍氣,tan seng jan hei,tan seng jan hi,tan sing jan hi
吞聲忍氣,tan sing jan hei,tan sing jan hi,tan sing jan hi
吟,jam,jam,jam
吟,ngam,ngam,ngam
吟吟寻寻,ngam ngam cam cam,ngam ngam cam cam,ngam ngam cam cam
吟吟尋尋,ngam ngam cam cam,ngam ngam cam cam,ngam ngam cam cam
吟吟沉沉,ngam ngam cam cam,ngam ngam cam cam,ngam ngam cam cam
吟噆,ngam cam,ngam cam,ngam cam
吟嚟吟去,ngam lai ngam heoi,ngam lai ngam hyu,ngam lai ngam hyu
吟嚟吟去,ngam lei ngam heoi,ngam lai ngam hyu,ngam lai ngam hyu
吟沉,ngam cam,ngam cam,ngam cam
吠,fai,fai,fi
吡,pei,pi,pi
吡,bei,bi,bi
吡叻,bei lik,bi lik,bi lik
吢,cam,cam,cam
吣,cam,cam,cam
吤,gaai,gaai,gaai
吤,go,go,go
吤,haai,haai,haai
吥,bat,bat,bat
否,fau,fau,fau
否,pei,pi,pi
否极泰来,pei gik taai loi,pi gik taai loi,pi gik taai loi
否極泰來,pei gik taai loi,pi gik taai loi,pi gik taai loi
吧,baa,baa,baa
吨,deon,dan,dan
吩,fan,fan,fan
吪,ngo,ngo,ngo
吪,faa,faa,faa
含,ham,ham,ham
听,jan,jan,jan
听,ting,ting,ting
听,teng,teng,ting
听不懂,teng bat dung,teng bat dung,ting bat dung
听个,teng go,teng go,ting go
听书,teng syu,teng syu,ting syu
听书,ting syu,ting syu,ting syu
听人讲,teng jan gong,teng jan gong,ting jan gong
听从,teng cung,teng cung,ting cung
听从,ting cung,ting cung,ting cung
听价唔听斗,teng gaa m teng dau,teng gaa m teng dau,ting gaa m ting dau
听住先,teng zyu sin,teng zyu slin,ting zyu sin
听你讲,teng nei gong,teng ni gong,ting ni gong
听佢,teng keoi,teng kyu,ting kyu
听出耳油,teng ceot ji jau,teng cyut ji jau,ting cat ji jau
听到,teng dou,teng du,ting dou
听取,teng ceoi,teng cyu,ting cyu
听取,ting ceoi,ting cyu,ting cyu
听咗,teng zo,teng zo,ting zo
听唔入耳,teng m jap ji,teng m jap ji,ting m jap ji
听唔出,teng m ceot,teng m cyut,ting m cat
听唔到,teng m dou,teng m du,ting m dou
听唔明,teng m ming,teng m ming,ting m ming
听埋,teng maai,teng maai,ting maai
听多,teng do,teng do,ting do
听尼士,teng ni si,teng nai si,ting nai si
听尼士,ting nei si,ting ni si,ting ni si
听尼士,ting ni si,ting nai si,ting nai si
听差,ting caai,ting caai,ting caai
听得到,teng dak dou,teng dak du,ting dak dou
听得多,teng dak do,teng dak do,ting dak do
听得明,teng dak ming,teng dak ming,ting dak ming
听懂,teng dung,teng dung,ting dung
听挨打,ting ngaai daa,ting ngaai daa,ting ngaai daa
听教,teng gaau,teng gaau,ting gaau
听教,ting gaau,ting gaau,ting gaau
听曲,teng kuk,teng kuk,ting kuk
听朝,ting ziu,ting ziu,ting ziu
听歌,teng go,teng go,ting go
听清,teng cing,teng cing,ting cing
听电话,teng din waa,teng din waa,ting din waa
听筒,teng tung,teng tung,ting tung
听落,teng lok,teng lok,ting lok
听见,teng gin,teng gin,ting gin
听见,ting gin,ting gin,ting gin
听见风就是雨,ting gin fung zau si jyu,ting gin fung zau si jyu,ting gin fung zau si jyu
听讲,teng gong,teng gong,ting gong
听诊,teng can,teng can,ting can
听诊器,ting can hei,ting can hi,ting can hi
听话,teng waa,teng waa,ting waa
听课,teng fo,teng ko,ting fo
听过,teng gwo,teng go,ting go
听错,teng co,teng co,ting co
听闻,teng man,teng man,ting man
听闻,ting man,ting man,ting man
听音乐,teng jam ngok,teng jam ngok,ting jam ngok
听香,teng hoeng,teng hoeng,ting hoeng
听香,ting hoeng,ting hoeng,ting hoeng
吭,hong,hong,hong
吭,hang,hang,hang
吮,seon,syun,syun
吮,syun,syun,syun
吮,cyun,syun,syun
启,kai,kai,kai
吰,wang,hung,kwang
吰,wang,wang,wang
吱,zi,zi,zi
吱,gei,zi,zi
吲,jan,jan,jan
吲哚,jan do,jan do,jan do
吳,ng,ng,ng
吴,ng,ng,ng
吵,caau,caau,caau
吵,caau,ceu,caau
吵醒,caau seng,caau sleng,caau sing
吵醒,caau sing,caau sling,caau sing
吵闹声,caau naau sing,caau naau sing,caau naau sing
吵鬧聲,caau naau sing,caau naau sing,caau naau sing
吶,naap,naap,naap
吶,neot,nat,nat
吶,nat,nat,nat
吶,nap,nat,nat
吷,hyut,hyut,hyut
吷,kyut,kyut,kyut
吸,kap,kap,kap
吹,ceoi,cui,cui
吹到啤一声,ceoi dou be jat seng,cui du be jat seng,cui dou be jat sing
吹到啤一聲,ceoi dou be jat seng,cui du be jat seng,cui dou be jat sing
吹水唔抹咀,ceoi seoi m maat zeoi,cui sui m mut zyu,cui sui m mut zyu
吹水唔抹嘴,ceoi seoi m maat zeoi,cui sui m mut zui,cui sui m mut zui
吹管乐,ceoi gun ngok,cui gun ngok,cui gun ngok
吹管樂,ceoi gun ngok,cui gun ngok,cui gun ngok
吹行晒,ceoi hang saai,cui hang saai,cui hang saai
吺,dau,dau,dau
吻,man,man,man
吼,hau,hau,hau
吼,haau,hung,hung
吼声,haau seng,hung seng,hung sing
吼聲,haau seng,hung seng,hung sing
吽,ngau,ngau,ngau
吽,hung,hung,hung
吽,hau,hau,hau
吾,ng,ng,ng
吾,jyu,ng,ng
吾,ngaa,ng,ng
吿,gou,gu,gou
吿,guk,guk,guk
呀,aa,aa,aa
呀,ngaa,ngaa,ngaa
呀,haa,nge,nge
呀,jaa,jaa,jaa
呀呀乌,jaa jaa wu,jaa jaa wu,jaa jaa wu
呀呀烏,jaa jaa wu,jaa jaa wu,jaa jaa wu
呀諾達,ngaa nok daat,ngaa nok daat,ngaa nok daat
呀诺达,ngaa nok daat,ngaa nok daat,ngaa nok daat
呁,gan,gan,gan
呂,leoi,lyu,lyu
呂塞爾斯海姆,leoi coi ji si hoi mou,lyu soi ji si hoi mu,lyu soi ji si hoi mu
呃,ak,ak,ak
呃,ngaak,ngak,ngak
呃,aak,ngak,ngak
呃,ngak,ngak,ngak
呃,aai,ngak,ngak
呃逆,aak jik,ngak nik,ngak nik
呃逆,ak jik,ak nik,ak nik
呄,gak,gak,gak
呅,mui,mui,mui
呅,man,man,man
呆,daai,daai,daai
呆,ngoi,ngoi,ngoi
呇,hei,hi,hi
呇,kai,man,man
呇,man,man,man
呈,cing,cing,cing
呈,ceng,cing,cing
呈寻切,ceng cam cit,cing cam cit,cing cam cit
呈尋切,ceng cam cit,cing cam cit,cing cam cit
呉,ng,ng,ng
告,gou,gu,gou
告,guk,gu,gou
呋,fu,fu,fu
呌,giu,giu,giu
呍,ngau,ngau,ngau
呍,wan,wan,wan
呍呢嗱,wan nei laa,wan ni naa,wan ni naa
呍呢拿,wan nei naa,wan ni naa,wan ni naa
呎,cek,cek,cek
呏,sing,sing,sing
呐,naap,naap,naap
呐,neot,nat,nat
呐,naa,nat,nat
呐,nat,nat,nat
呐,ne,nat,nat
呐,neoi,nat,nat
呐,nap,nat,nat
呑,tan,tan,tan
呒,fu,fu,fu
呒,mou,mu,mu
呒,mo,mo,mo
呒,m,mo,mo
呓,ngai,ngai,ngai
呔,toi,toi,toi
呔,taai,taai,taai
呔夹,taai gep,taai gep,taai gaap
呔夹,taai gip,taai gep,taai gaap
呔夾,taai gep,taai gep,taai gaap
呔夾,taai gip,taai gep,taai gaap
呕,au,au,au
呕,heoi,au,au
呕白泡,au baak pou,au baak pu,au baak pou
呖,lik,lik,lik
呖,lek,lik,lik
呖女,lek neoi,lik nyu,lik nyu
